"folio","type_org","soc_capital"
1,"Men",10.618181818
2,"Men",14.354545455
3,"Men",6.363636364
4,"Men",12.6
5,"Men",14.818181818
6,"Women",15.2
7,"Women",4.290909091
8,"Women",12.754545455
9,"Women",7.981818182
10,"Women",9.64
11,"Mixed-W",6.1
12,"Mixed-W",10.090909091
13,"Mixed-W",8.272727273
14,"Mixed-W",17.363636364
15,"Mixed-W",6.5
16,"Mixed-W",3.863636364
17,"Mixed-W",5.181818182
18,"Mixed-W",16.163636364
19,"Mixed-W",8.190909091
20,"Mixed-W",11.533333333
21,"Mixed-M",9.818181818
22,"Mixed-M",6.727272727
23,"Mixed-M",9.272727273
24,"Mixed-M",3.090909091
25,"Mixed-M",13.090909091
26,"Mixed-M",4.381818182
27,"Mixed-M",13.2
28,"Mixed-M",5.254545455
29,"Mixed-M",8.945454545
30,"Mixed-M",10.875
31,"Mixed-W",3.572727273
32,"Mixed-W",12.890909091
33,"Mixed-W",8.427272727
34,"Mixed-W",9.5
35,"Mixed-W",8.666666667
36,"Women",5.272727273
37,"Women",8.081818182
38,"Women",12.01
39,"Women",2.61
40,"Women",15.333333333
41,"Mixed-M",8.571428571
42,"Mixed-M",17.545454545
43,"Mixed-M",3.636363636
44,"Mixed-M",12.4
45,"Mixed-M",7.045454545
46,"Mixed-M",10.090909091
47,"Men",4.545454545
48,"Men",3.090909091
49,"Men",4.318181818
50,"Men",4.181818182
51,"Men",4.363636364
52,"Women",0.454545455
53,"Women",0.454545455
54,"Women",0
55,"Women",0
56,"Women",1
57,"Mixed-W",10
58,"Mixed-W",13.75
59,"Mixed-W",17.428571429
60,"Mixed-W",15.8
61,"Mixed-W",14.2
62,"Men",4.181818182
63,"Men",10
64,"Men",4.727272727
65,"Men",9.222222222
66,"Men",4.545454545
67,"Women",10.454545455
68,"Women",8.363636364
69,"Women",18.181818182
70,"Women",5.8
71,"Women",11.581818182
72,"Women",7.944444444
73,"Women",11.75
74,"Women",7.142857143
75,"Women",10
76,"Women",11
77,"Mixed-M",18.727272727
78,"Mixed-M",17.583333333
79,"Mixed-M",11.436363636
80,"Mixed-M",11.181818182
81,"Mixed-M",9.681818182
82,"Women",17.6
83,"Women",9
84,"Women",9.054545455
85,"Women",12.75
86,"Women",13
87,"Mixed-W",17.090909091
88,"Mixed-W",12.3
89,"Mixed-W",9.5
90,"Mixed-W",13.363636364
91,"Mixed-W",12.888888889
92,"Mixed-M",9.55
93,"Mixed-M",8.909090909
94,"Mixed-M",8.9
95,"Mixed-M",5
96,"Mixed-M",9.555555556
97,"Mixed-W",12.045454545
98,"Mixed-W",5.444444444
99,"Mixed-W",14.281818182
100,"Mixed-W",8.454545455
101,"Men",11.318181818
102,"Men",7.222222222
103,"Men",10.272727273
104,"Men",11.772727273
105,"Men",10.9
106,"Men",6.454545455
107,"Men",4
108,"Men",7.125
109,"Men",7.714285714
110,"Men",10
111,"Mixed-M",13.222222222
112,"Mixed-M",8.85
113,"Mixed-M",19.333333333
114,"Mixed-M",14.6
115,"Mixed-M",10
